request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_79,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-01. None of the available options keeps the EUR 1,000 minimum protected."
request_80,112725.8,affordable_later,wait,2025-03-15:217500,2025-03-15,none,"Pay INR 217,500 in full on 2025-03-15. Paying earlier would take the balance below the INR 121,300 minimum."
request_81,1459.87,affordable_later,wait,2026-09-15:2076,2026-09-15,none,"Pay USD 2,076 in full on 2026-09-15. Paying earlier would take the balance below the USD 1,600 minimum."
request_82,280.15,affordable_later,wait,2025-01-15:1405.2,2025-01-15,none,"Pay USD 1,405.20 in full on 2025-01-15. Paying earlier would take the balance below the USD 1,100 minimum."
request_83,2734.02,affordable_later,wait,2025-07-15:156200,2025-07-15,none,"Pay INR 156,200 in full on 2025-07-15. Paying earlier would take the balance below the INR 37,800 minimum."
request_84,5669.07,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-15. None of the available options keeps the INR 91,300 minimum protected."
request_85,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-04-26. None of the available options keeps the IDR 6,396,300 minimum protected."
request_86,20515.04,affordable_later,wait,2025-09-23:46300,2025-09-23,none,"Pay INR 46,300 in full on 2025-09-23. Paying earlier would take the balance below the INR 84,900 minimum."
request_87,3622.44,affordable_later,wait,2026-03-15:487900,2026-03-15,none,"Pay INR 487,900 in full on 2026-03-15. Paying earlier would take the balance below the INR 185,900 minimum."
request_88,9731.72,affordable_later,wait,2024-07-15:26092,2024-07-15,none,"Pay ZAR 26,092 in full on 2024-07-15. Paying earlier would take the balance below the ZAR 25,800 minimum."
request_89,6568410.76,affordable_later,wait,2025-12-15:13756000,2025-12-15,none,"Pay IDR 13,756,000 in full on 2025-12-15. Paying earlier would take the balance below the IDR 12,534,700 minimum."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 28,024.41 available over the next 90 days."
request_91,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-15. None of the available options keeps the EUR 2,100 minimum protected."
request_92,33493.62,affordable_later,wait,2025-02-15:34034,2025-02-15,none,"Pay ZAR 34,034 in full on 2025-02-15. Paying earlier would take the balance below the ZAR 28,100 minimum."
request_93,1692.53,affordable_with_plan,full_payment,2026-04-07:1729.2,2026-04-15,stop:event_8667,"Adjust flexible spending, then pay USD 1,729.20 today. This leaves at least USD 1,900 available."
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,"Pay EUR 572 today. This leaves at least EUR 1,971.96 available over the next 90 days."
request_95,7426.55,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-14. None of the available options keeps the INR 145,500 minimum protected."
request_96,55951.69,affordable_later,wait,2026-02-15:90200,2026-02-15,none,"Pay INR 90,200 in full on 2026-02-15. Paying earlier would take the balance below the INR 56,500 minimum."
request_97,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-24. None of the available options keeps the ZAR 29,700 minimum protected."
request_98,1691.44,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-15. None of the available options keeps the ZAR 30,000 minimum protected."
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,"Pay ZAR 18,062 today. This leaves at least ZAR 49,867.54 available over the next 90 days."
request_100,19925.75,affordable_later,wait,2024-07-15:37114,2024-07-15,none,"Pay ZAR 37,114 in full on 2024-07-15. Paying earlier would take the balance below the ZAR 32,500 minimum."
request_101,136405.72,affordable_later,wait,2025-11-15:143500,2025-11-15,none,"Pay INR 143,500 in full on 2025-11-15. Paying earlier would take the balance below the INR 187,400 minimum."
request_102,1716.0,affordable_later,wait,2026-04-05:1716,2026-04-05,none,"Pay EUR 1,716 in full on 2026-04-05. Paying earlier would take the balance below the EUR 900 minimum."
request_103,10134.32,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-10-07. None of the available options keeps the INR 125,500 minimum protected."
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204 today. This leaves at least ZAR 27,572.23 available over the next 90 days."
request_105,10512.54,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-14. None of the available options keeps the INR 73,900 minimum protected."
request_106,302.55,affordable_later,wait,2024-12-15:2207.7,2024-12-15,none,"Pay EUR 2,207.70 in full on 2024-12-15. Paying earlier would take the balance below the EUR 1,200 minimum."
request_107,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-04. None of the available options keeps the EUR 1,600 minimum protected."
request_108,3749.0,affordable_later,wait,2026-08-24:55308,2026-08-24,none,"Pay ZAR 55,308 in full on 2026-08-24. Paying earlier would take the balance below the ZAR 24,100 minimum."
request_109,254.79,affordable_later,wait,2024-04-15:1863.4,2024-04-15,none,"Pay EUR 1,863.40 in full on 2024-04-15. Paying earlier would take the balance below the EUR 1,700 minimum."
request_110,22352.0,affordable_later,wait,2025-08-06:22352,2025-08-06,none,"Pay ZAR 22,352 in full on 2025-08-06. Paying earlier would take the balance below the ZAR 11,200 minimum."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 55,874,839.71 available over the next 90 days."
request_112,87.2,affordable_later,wait,2024-08-15:271.7,2024-08-15,none,Pay EUR 271.70 in full on 2024-08-15. Paying earlier would take the balance below the EUR 500 minimum.
request_113,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-10-19. None of the available options keeps the INR 82,300 minimum protected."
request_114,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-14. None of the available options keeps the INR 113,400 minimum protected."
request_115,16371.69,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Pay INR 80,500 in full on 2024-11-15. Paying earlier would take the balance below the INR 38,800 minimum."
request_116,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-16. None of the available options keeps the INR 80,300 minimum protected."
request_117,867.82,affordable_later,wait,2026-07-15:880,2026-07-15,none,"Pay EUR 880 in full on 2026-07-15. Paying earlier would take the balance below the EUR 1,000 minimum."
request_118,621.38,affordable_later,wait,2024-12-15:738.1,2024-12-15,none,Pay EUR 738.10 in full on 2024-12-15. Paying earlier would take the balance below the EUR 600 minimum.
request_119,62084.28,affordable_later,wait,2025-05-15:203500,2025-05-15,none,"Pay INR 203,500 in full on 2025-05-15. Paying earlier would take the balance below the INR 151,200 minimum."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,406,185.29 available over the next 90 days."
request_121,563.25,affordable_later,wait,2024-04-15:633.6,2024-04-15,none,Pay USD 633.60 in full on 2024-04-15. Paying earlier would take the balance below the USD 800 minimum.
request_122,20558000.0,affordable_later,wait,2025-08-05:20558000,2025-08-05,none,"Pay IDR 20,558,000 in full on 2025-08-05. Paying earlier would take the balance below the IDR 12,588,500 minimum."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 54,480,371.73 available over the next 90 days."
request_124,1294.57,affordable_later,wait,2024-07-15:3104.2,2024-07-15,none,"Pay EUR 3,104.20 in full on 2024-07-15. Paying earlier would take the balance below the EUR 1,600 minimum."
request_125,2003.4,affordable_later,wait,2026-01-15:6468,2026-01-15,none,"Pay ZAR 6,468 in full on 2026-01-15. Paying earlier would take the balance below the ZAR 11,300 minimum."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 174,554.98 available over the next 90 days."
request_127,9075.31,affordable_later,wait,2024-09-15:23980,2024-09-15,none,"Pay ZAR 23,980 in full on 2024-09-15. Paying earlier would take the balance below the ZAR 41,000 minimum."
request_128,24695.93,affordable_later,wait,2025-02-15:25168,2025-02-15,none,"Pay ZAR 25,168 in full on 2025-02-15. Paying earlier would take the balance below the ZAR 42,600 minimum."
request_129,0.02,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-18. None of the available options keeps the USD 800 minimum protected.
request_130,6.31,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-15. None of the available options keeps the USD 1,400 minimum protected."
request_131,1017.11,affordable_later,wait,2025-07-23:1855.2,2025-07-23,none,"Pay USD 1,855.20 in full on 2025-07-23. Paying earlier would take the balance below the USD 1,100 minimum."
request_132,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-02-25. None of the available options keeps the USD 1,100 minimum protected."
request_133,15770000.0,affordable_later,wait,2024-03-07:15770000,2024-03-07,none,"Pay IDR 15,770,000 in full on 2024-03-07. Paying earlier would take the balance below the IDR 9,986,200 minimum."
request_134,4532213.46,affordable_later,wait,2025-09-15:21831000,2025-09-15,none,"Pay IDR 21,831,000 in full on 2025-09-15. Paying earlier would take the balance below the IDR 15,902,500 minimum."
request_135,285.11,affordable_later,wait,2026-09-15:304.8,2026-09-15,none,Pay USD 304.80 in full on 2026-09-15. Paying earlier would take the balance below the USD 500 minimum.
request_136,497.98,affordable_later,wait,2024-07-15:560.4,2024-07-15,none,"Pay USD 560.40 in full on 2024-07-15. Paying earlier would take the balance below the USD 1,100 minimum."
request_137,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the INR 71,800 minimum protected."
request_138,444.72,affordable_with_plan,partial_payment,2026-04-07:444.72|2026-05-15:812.22,2026-05-15,none,"Pay EUR 444.72 today and the remaining EUR 812.22 on 2026-05-15. This completes the full request and keeps the EUR 2,300 minimum protected."
request_139,1120.93,affordable_later,wait,2024-10-15:2316,2024-10-15,none,"Pay USD 2,316 in full on 2024-10-15. Paying earlier would take the balance below the USD 1,500 minimum."
request_140,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-03-04. None of the available options keeps the ZAR 21,600 minimum protected."
request_141,5978.63,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-02-12. None of the available options keeps the INR 67,300 minimum protected."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 4,518.43 available over the next 90 days."
request_143,738.28,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-15. None of the available options keeps the ZAR 11,300 minimum protected."
request_144,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-07-26. None of the available options keeps the USD 600 minimum protected.
request_145,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-26. None of the available options keeps the INR 155,400 minimum protected."
request_146,425.9,affordable_later,wait,2025-10-15:449400,2025-10-15,none,"Pay INR 449,400 in full on 2025-10-15. Paying earlier would take the balance below the INR 108,600 minimum."
request_147,362.67,affordable_later,wait,2026-04-15:1129.7,2026-04-15,none,"Pay EUR 1,129.70 in full on 2026-04-15. Paying earlier would take the balance below the EUR 900 minimum."
request_148,5435.92,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-18. None of the available options keeps the ZAR 20,000 minimum protected."
request_149,15252.1,affordable_later,wait,2025-12-15:36652,2025-12-15,none,"Pay ZAR 36,652 in full on 2025-12-15. Paying earlier would take the balance below the ZAR 42,100 minimum."
request_150,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-16. None of the available options keeps the EUR 700 minimum protected.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000 today. This leaves at least IDR 32,349,047.26 available over the next 90 days."
request_152,5230.4,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-13. None of the available options keeps the ZAR 11,900 minimum protected."
request_153,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-24. None of the available options keeps the USD 1,400 minimum protected."
request_154,1625.8,affordable_later,wait,2024-12-04:1625.8,2024-12-04,none,"Pay EUR 1,625.80 in full on 2024-12-04. Paying earlier would take the balance below the EUR 1,300 minimum."
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500 today. This leaves at least INR 80,183.52 available over the next 90 days."
request_156,2726.26,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-15. None of the available options keeps the ZAR 26,900 minimum protected."
request_157,5023423.3,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-15. None of the available options keeps the IDR 15,714,100 minimum protected."
request_158,242600.0,affordable_later,wait,2025-08-07:242600,2025-08-07,none,"Pay INR 242,600 in full on 2025-08-07. Paying earlier would take the balance below the INR 131,400 minimum."
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"Pay ZAR 13,398 today. This leaves at least ZAR 15,217.47 available over the next 90 days."
request_160,560.31,affordable_later,wait,2024-06-15:1246.3,2024-06-15,none,"Pay EUR 1,246.30 in full on 2024-06-15. Paying earlier would take the balance below the EUR 1,200 minimum."
request_161,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the IDR 23,010,400 minimum protected."
request_162,375763.85,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-26. None of the available options keeps the IDR 24,161,100 minimum protected."
request_163,8890407.92,affordable_later,wait,2024-09-15:19304000,2024-09-15,none,"Pay IDR 19,304,000 in full on 2024-09-15. Paying earlier would take the balance below the IDR 26,728,700 minimum."
request_164,26039006.67,affordable_later,wait,2025-02-15:27018000,2025-02-15,none,"Pay IDR 27,018,000 in full on 2025-02-15. Paying earlier would take the balance below the IDR 29,550,500 minimum."
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80,600 today. This leaves at least INR 271,899.54 available over the next 90 days."
request_166,2907.6,affordable_later,wait,2024-12-03:2907.6,2024-12-03,none,"Pay USD 2,907.60 in full on 2024-12-03. Paying earlier would take the balance below the USD 1,700 minimum."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 34,985.62 available over the next 90 days."
request_168,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-16. None of the available options keeps the INR 114,400 minimum protected."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 23,851.72 available over the next 90 days."
request_170,19496356.16,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-04. None of the available options keeps the IDR 24,715,800 minimum protected."
request_171,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-10. None of the available options keeps the EUR 500 minimum protected.
request_172,2754.4,affordable_later,wait,2024-08-15:10200,2024-08-15,none,"Pay ZAR 10,200 in full on 2024-08-15. Paying earlier would take the balance below the ZAR 27,200 minimum."
request_173,10164.85,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-17. None of the available options keeps the INR 79,100 minimum protected."
request_174,1146.2,affordable_later,wait,2026-04-04:1146.2,2026-04-04,none,"Pay EUR 1,146.20 in full on 2026-04-04. Paying earlier would take the balance below the EUR 700 minimum."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,802.22 available over the next 90 days."
request_176,269.36,affordable_later,wait,2025-03-15:1239.7,2025-03-15,none,"Pay EUR 1,239.70 in full on 2025-03-15. Paying earlier would take the balance below the EUR 600 minimum."
request_177,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-25. None of the available options keeps the USD 1,300 minimum protected."
request_178,2938.1,affordable_later,wait,2024-12-07:2938.1,2024-12-07,none,"Pay EUR 2,938.10 in full on 2024-12-07. Paying earlier would take the balance below the EUR 1,400 minimum."
request_179,5947254.59,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-15. None of the available options keeps the IDR 41,430,800 minimum protected."
request_180,59755.99,affordable_later,wait,2026-09-15:66500,2026-09-15,none,"Pay INR 66,500 in full on 2026-09-15. Paying earlier would take the balance below the INR 37,300 minimum."
request_181,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-04-07. None of the available options keeps the USD 2,000 minimum protected."
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714 today. This leaves at least ZAR 44,479.88 available over the next 90 days."
request_183,12464305.57,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-18. None of the available options keeps the IDR 11,878,300 minimum protected."
request_184,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-07-30. None of the available options keeps the INR 110,800 minimum protected."
request_185,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the EUR 1,300 minimum protected."
request_186,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. None of the available options keeps the ZAR 22,000 minimum protected."
request_187,29630.79,affordable_later,wait,2024-09-15:187500,2024-09-15,none,"Pay INR 187,500 in full on 2024-09-15. Paying earlier would take the balance below the INR 128,300 minimum."
request_188,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-03-04. None of the available options keeps the EUR 900 minimum protected.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 505.80 available over the next 90 days.
request_190,444.04,affordable_later,wait,2025-01-15:2557.5,2025-01-15,none,"Pay EUR 2,557.50 in full on 2025-01-15. Paying earlier would take the balance below the EUR 1,600 minimum."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Pay EUR 664.40 today. This leaves at least EUR 595.70 available over the next 90 days.
request_192,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-05-11. None of the available options keeps the USD 1,000 minimum protected."
request_193,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-28. None of the available options keeps the EUR 1,000 minimum protected."
request_194,715.05,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-23. None of the available options keeps the INR 113,600 minimum protected."
request_195,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-11. None of the available options keeps the EUR 700 minimum protected.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 587.34 available over the next 90 days.
request_197,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-21. None of the available options keeps the IDR 26,245,900 minimum protected."
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800 today. This leaves at least INR 156,124.02 available over the next 90 days."
request_199,23674000.0,affordable_later,wait,2024-09-04:23674000,2024-09-04,none,"Pay IDR 23,674,000 in full on 2024-09-04. Paying earlier would take the balance below the IDR 25,359,500 minimum."
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000 today. This leaves at least IDR 23,911,305.70 available over the next 90 days."
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"Pay IDR 23,997,000 today. This leaves at least IDR 50,255,728.96 available over the next 90 days."
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900 today. This leaves at least INR 161,657.85 available over the next 90 days."
